struct,type,cores,iterations,ns/op,MB/s,op/s,B/op,allocs/op
Disruptor,Single Operation,6,1000000000,0.01476,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01384,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01386,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01382,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01367,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01477,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01368,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01423,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01382,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01371,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.0142,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01365,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.0146,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01486,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01384,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01487,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01388,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.0151,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01425,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01363,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01387,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01456,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01371,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01369,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01874,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01415,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01369,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01402,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01378,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01376,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01417,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01383,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01354,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01416,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01383,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01379,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01411,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01449,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01386,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01406,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01444,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01395,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01463,N\A,N\A,0,0
Disruptor,Single Operation,6,1000000000,0.01395,N\A,N\A,0,0
